Country Name,"2015 Total reserves (includes gold, current US$)","2016 Total reserves (includes gold, current US$)","2017 Total reserves (includes gold, current US$)","2018 Total reserves (includes gold, current US$)"
Afghanistan,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946
Albania,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681
Algeria,150595236894.628,120788088861.403,104852543743.412,87382910154.0942
American Samoa,..,..,..,..
Andorra,..,..,..,..
Angola,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47
Antigua and Barbuda,355728253.383608,330090979.265027,313645370.808951,328659747.502549
Arab World,..,..,..,..
Argentina,25520565580.4894,38414518491.6132,55314409205.2189,66221501691.4418
Armenia,1775293493.7543,2204113991.25512,2314113951.27386,2259321868.53197
Aruba,815800560,922550890,907111452.513966,980247680
Australia,45712035070.596,53555791522.7773,66597718118.1818,53880533420.3007
Austria,22239731667.636,23255493380.5846,21565331649.2621,23190665221.0656
Azerbaijan,7319394112.32726,6573862903.11433,6680532216.7134,6665989936.45047
"Bahamas, The",895475136.251959,1001933945.18353,1413972940.85571,..
Bahrain,3546207932.19981,2611989314.00794,2823123079.34137,2334278370.00967
Bangladesh,27493077971.9949,32283838538.9037,33431482893.1712,32028383716.5949
Barbados,553604323.881265,431758241.990471,..,..
Belarus,4172797260.41231,4907608003.26984,7315236708.5196,7157559690.48716
Belgium,24101851039.0629,23480922147.456,26151437584.4711,26856799008.9529
Belize,437151657.938585,376735092.705476,312140148.194318,294468435.057294
Benin,..,..,..,..
Bermuda,..,..,..,..
Bhutan,1103179128.57934,1127277331.66278,1206238190.85106,987247035.583982
Bolivia,13049620686.0687,10053627485.0797,10245969449.6731,8929614182.53614
Bosnia and Herzegovina,4790984890.64006,5136418168.10228,6473729518.60968,6808433501.27296
Botswana,7546144960.24368,7188821774.82296,7490512373.36878,6656913637.84624
Brazil,356464980327.488,364984039092.456,373955518686.487,374709673447.828
British Virgin Islands,..,..,..,..
Brunei Darussalam,3366322585.18654,3487053368.54429,3488124299.73021,3407126454.77295
Bulgaria,22153050488.9051,25176065815.9197,28375830876.2926,28711039864.6649
Burkina Faso,..,..,..,..
Burundi,136134382.176262,95158477.5306259,97402580.425552,68126200.7714545
Cabo Verde,494495560.716106,572736752.547996,617362329.826463,606430600.295088
Cambodia,7306761263.12661,8851524981.10859,11780356004.4478,13885663251.0401
Cameroon,3536255065.98645,2225708778.07818,3196791410.74604,3459329760.96426
Canada,79753521149.8993,82718110857.6299,86677706696.7064,83925602808.0082
Caribbean small states,..,..,..,..
Cayman Islands,..,..,..,162073506
Central African Republic,213800567.288047,239797985.500412,362717270.49893,361797180.317651
Central Europe and the Baltics,..,..,..,..
Chad,368916823.816674,8184292.08845216,8575237.41520016,147750165.909777
Channel Islands,..,..,..,..
Chile,38641176606.0315,40493293729.5297,38981539753.7984,39858824174.8114
China,3405253363888.14,3097658421378.4,3235681607213.04,3168216331199.09
Colombia,46222893468.525,46173772892.6654,47131104746.7563,47887623364.3511
Comoros,200562427.653927,159412124.098012,207879895.509358,199213183.261238
"Congo, Dem. Rep.",1215934551.45168,708160749.155332,695398161.997957,665272094.992908
"Congo, Rep.",2221497219.19564,714352000.79598,379984138.830498,423617388.256644
Costa Rica,7833931554.67419,7573806767.99203,7149834513.74318,7500924411.18614
Cote d'Ivoire,..,..,..,..
Croatia,14966894623.4156,14244345198.2049,18818215998.8714,19991304927.8836
Cuba,..,..,..,..
Curacao,..,..,..,..
Cyprus,807868870.831618,812488586.049062,887692448.704109,924201541.467494
Czech Republic,64490290734.1553,85725304288.2449,147976372277.252,142511752519.564
Denmark,65185093406.2789,64215805619.9462,75244445865.8039,70942078373.7473
Djibouti,364857284.064063,407414266.733581,556097628.852465,454193909.718601
Dominica,126225919.300594,221907763.515912,212292574.606832,191323608.30539
Dominican Republic,5266043354.25313,6134227406.75062,6872905749.30285,7717561574.1843
Early-demographic dividend,..,..,..,..
East Asia & Pacific,..,..,..,..
East Asia & Pacific (excluding high income),..,..,..,..
East Asia & Pacific (IDA & IBRD countries),..,..,..,..
Ecuador,2487276599.56405,4215553160.05677,2169697856.6482,2158694032.4143
"Egypt, Arab Rep.",15858887325.7756,23642691705.9678,36400242555.8255,41839242990.7097
El Salvador,2786587496.10091,3238334348.81609,3567268275.79971,3568810597.97393
Equatorial Guinea,1205154515.65311,62307444.1358487,45502925.1067975,48929813.6121629
Eritrea,..,..,..,..
Estonia,414798362.438981,352140743.414626,345036507.941262,755005588.304243
Eswatini,547997264.064542,564314115.627588,563119751.253451,440685903.013845
Ethiopia,3835287576.46954,3030943950.63996,3045571314.79781,3987464165.90059
Euro area,701552553007.993,741790800990.739,802685567836.537,822526232328.578
Europe & Central Asia,..,..,..,..
Europe & Central Asia (excluding high income),..,..,..,..
Europe & Central Asia (IDA & IBRD countries),..,..,..,..
European Union,..,..,..,..
Faroe Islands,..,..,..,..
Fiji,918959350.368621,908823039.760341,1116363704.4475,947653331.857671
Finland,10016275637.3125,10465361380.0017,10506846391.9314,10309164187.4717
Fragile and conflict affected situations,..,..,..,..
France,138198984338.294,145866068770.183,156322431109.247,166483400196.79
French Polynesia,..,..,..,..
Gabon,1863120980.87031,789346604.519222,965054219.212037,1321051088.57443
"Gambia, The",111040203.229818,87635582.4178872,169969976.48625,191773260.980301
Georgia,2520721328.46961,2756383662.9152,3038762324.25157,3289463516.7195
Germany,173730930555.425,184031339953.397,199983070123.869,198027061675.403
Ghana,5742645886.29529,5866729596.16504,7015187159.64987,6294851564.02725
Gibraltar,..,..,..,..
Greece,6027606781.10376,6851247713.21209,7803722132.38225,7578500698.89502
Greenland,..,..,..,..
Grenada,197973503.320903,207689282.825893,199125887.285472,233815853.807382
Guam,..,..,..,..
Guatemala,7745916506.07283,9152627961.3824,11765104230.8297,12583121641.7733
Guinea,654251935.757249,803901252.908194,942834196.860617,1224990168.34101
Guinea-Bissau,..,..,..,..
Guyana,531887027.917001,580981472.737257,565363504.401139,518509369.454311
Haiti,1977646797.27919,2174226509.26468,2410456438.53652,2370915011.76722
Heavily indebted poor countries (HIPC),..,..,..,..
High income,..,..,..,..
Honduras,3754254626.25896,3813545536.14649,4708097401.41206,4769082161.53781
"Hong Kong SAR, China",358772789814.908,386293451174.891,431441967070.678,424619925347.188
Hungary,33124288325.6273,25824253667.337,28002680652.4484,31366581856.0416
IBRD only,..,..,..,..
Iceland,5040573412.30604,7225621330.32653,6566175919.51031,6321213331.79507
IDA & IBRD total,..,..,..,..
IDA blend,..,..,..,..
IDA only,..,..,..,..
IDA total,..,..,..,..
India,353319061013.224,361694321972.036,412613792019.924,399167159226.682
Indonesia,105928847088.719,116369601851.059,130215330382.957,120660974090.95
"Iran, Islamic Rep.",..,..,..,..
Iraq,53992019678.9023,45298562240.8151,49315419400.3988,64719421423.3098
Ireland,2203153449.1223,3589332627.17955,4412516406.92309,5222681912.93715
Isle of Man,..,..,..,..
Israel,90575018408.045,95446290281.5568,113009532488.062,115265900520.851
Italy,130592432979.515,135133283786.776,151120440050.073,152361936421.553
Jamaica,2913835195.89151,3291468022.15921,3781167558.10295,3532039680.05605
Japan,1233097790281.8,1216518779919.68,1264140980383.63,1270467038786.78
Jordan,16571894982.6299,15543454210.4578,..,..
Kazakhstan,27854795818.7629,29603056785.2248,30746770568.3835,30976612438.5176
Kenya,7548439567.43464,7600553136.56066,7353448764.2093,8196864887.82406
Kiribati,..,..,..,..
"Korea, Dem. People’s Rep.",..,..,..,..
"Korea, Rep.",366707257929.029,370154204332.626,388804901513.924,403082233385.987
Kosovo,770550134.507563,637797614.52744,819582674.409873,881167306.173398
Kuwait,30960893267.6336,33936274928.4313,36889754716.8625,40282453060.4129
Kyrgyz Republic,1777941002.20899,1967811282.96594,2177013757.29635,2156976620.36741
Lao PDR,1054417338.24998,879517059.148709,1271083415.18651,980441052.937056
Late-demographic dividend,..,..,..,..
Latin America & Caribbean,..,..,..,..
Latin America & Caribbean (excluding high income),..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),..,..,..,..
Latvia,3445996161.48029,3511946854.90789,4613455660.77037,4370730735.82853
Least developed countries: UN classification,..,..,..,..
Lebanon,48531390536.9734,53905512885.564,55411532096.3304,52380608542.3956
Lesotho,997431660.022088,925195318.767947,657668309.282079,728527649.979486
Liberia,574780752.726986,595040802.503528,600732858.554034,560299001.752168
Libya,77649594284.0862,70191441968.8814,79417877682.1686,85335649782.1665
Liechtenstein,..,..,..,..
Lithuania,1697150153.84852,2599864854.6003,4449678813.3316,5770956096.50459
Low & middle income,..,..,..,..
Low income,..,..,..,..
Lower middle income,..,..,..,..
Luxembourg,770747330.389649,973176553.118613,878080634.297165,938890223.596831
"Macao SAR, China",18890787008.0417,19491696000,20169663000,20281241000
Madagascar,832008813.363757,1183690792.01019,1600175022.31326,1739588290.28962
Malawi,678760478.271052,608344217.598916,770431046.225973,759614761.931253
Malaysia,95282342267.7486,94481267074.1533,102446599680.702,101452531755.37
Maldives,575758077.44507,477936678.56819,598201001.746116,722068698.776903
Mali,..,..,..,..
Malta,571697422.679452,677039187.752481,832991850.762179,1024613729.12178
Marshall Islands,..,..,..,..
Mauritania,822269358.346095,848467104.487379,873822720.854327,934291833.830821
Mauritius,4259691508.3633,4962069842.12085,5984338261.63058,6353096296.20215
Mexico,177596632552.624,177973637254.61,175469669183.544,176390278595.584
"Micronesia, Fed. Sts.",135114898.29569,156984836.357184,203718873.504125,203528219.216567
Middle East & North Africa,..,..,..,..
Middle East & North Africa (excluding high income),..,..,..,..
Middle East & North Africa (IDA & IBRD countries),..,..,..,..
Middle income,..,..,..,..
Moldova,1756772270.0972,2205927462.61468,2803268841.80309,2995238116.31008
Monaco,..,..,..,..
Mongolia,1322495172.72512,1304118724.0909,3016698322.0815,3549666961.87949
Montenegro,681662465.324835,793838337.206649,1016162256.68628,1202727764.78899
Morocco,22749566243.6606,25096263443.799,26189585939.2967,24461023093.2087
Mozambique,2581229792.39729,2183206657.71961,3361066044.40731,3257710292.09573
Myanmar,4598610942.14029,4886384703.75254,5213962530.80223,5646407387.45813
Namibia,1688180787.14781,1833673822.03675,2432221196.06343,2149916908.24883
Nauru,..,..,..,..
Nepal,8145463907.87798,8734510298.83136,9435255966.98232,8335473017.41812
Netherlands,38213751383.3571,35905772878.2734,38421990800.0802,38431677254.824
New Caledonia,..,..,..,..
New Zealand,14699798262.9867,17808384489.6379,20683740690.7906,17656593019.6171
Nicaragua,2492262791.93881,2447771381.81086,2757785586.66498,2261143360.12993
Niger,..,..,..,..
Nigeria,29011450144.31,28020197619.3379,40499220796.3652,42838869124.791
North America,..,..,..,..
North Macedonia,2470701359.60007,2751929520.8021,2801853318.34827,3284003546.93106
Northern Mariana Islands,..,..,..,..
Norway,57455936481.5608,60445172369.6599,65923863904.4306,63145471060.2407
Not classified,..,..,..,..
OECD members,..,..,..,..
Oman,17543980312.7005,20262241805.121,16088803822.7709,17388370607.2955
Other small states,..,..,..,..
Pacific island small states,..,..,..,..
Pakistan,20027864211.2597,22027605269.5237,18455861310.286,11837177725.8521
Palau,..,..,..,..
Panama,3378098353.89896,3846753359.06372,2703336161.52673,2121303718.10741
Papua New Guinea,1758569679.62188,1679928638.34872,1761946839.34036,2239395527.4358
Paraguay,5938523046.9591,6880868043.64371,7877536165.92124,7738519105.8012
Peru,61594854512.0108,61801163819.905,63819289817.3982,60333192024.232
Philippines,80640411491.447,80666223156.9831,81413504334.4498,79195598849.54
Poland,94902630299.2186,114328539232.702,113267368075.15,116956636327.589
Portugal,19402623792.0829,24989773864.5767,26096701287.2382,24920338987.3177
Post-demographic dividend,..,..,..,..
Pre-demographic dividend,..,..,..,..
Puerto Rico,..,..,..,..
Qatar,37257529105.0352,31887349772.9792,15007730964.8132,30358280804.0766
Romania,38700983240.8315,39953479392.8853,44429296937.0156,42129061937.9341
Russian Federation,368042950258.841,377052204307.946,432730507964.11,468645216082.719
Rwanda,917498055.127134,1013356070.46449,1178765818.21496,1238058758.16221
Samoa,122492837.054544,99306837.9645827,130979553.041719,169944547.604381
San Marino,378976113.953944,450983493.470616,359230311.904522,338957476.907088
Sao Tome and Principe,72864704.9867351,63203006.4164723,58950229.500284,43683545.117539
Saudi Arabia,626989686477.742,547266635919.121,509457096430.156,509468527336.473
Senegal,..,..,..,..
Serbia,11344953319.4664,10748918412.8601,11906315333.2437,12874374086.5037
Seychelles,536145674.407411,523503786.87859,545203276.387118,549521831.728019
Sierra Leone,579013520.60832,497242646.676567,549121050.851388,502557290.862546
Singapore,251875782494.842,251058293461.882,285000274600.258,292715632357.011
Sint Maarten (Dutch part),..,..,..,..
Slovak Republic,2892029439.91285,2879889589.86374,3620878540.50759,5229297354.833
Slovenia,856213889.025237,742060176.083081,889788337.683431,933092542.007261
Small states,..,..,..,..
Solomon Islands,519562129.906361,513960963.295802,574230569.143111,617115407.092056
Somalia,..,..,..,..
South Africa,45887065756.7249,47180127300.8564,50722891363.2361,51642041966.6735
South Asia,..,..,..,..
South Asia (IDA & IBRD),..,..,..,..
South Sudan,229880518.366326,68159818.6400242,..,..
Spain,53973842235.8777,63039926528.9472,69400198866.0331,70633189427.7056
Sri Lanka,7302096590.22385,6008199165.178,7959047614.93675,6920825566.09992
St. Kitts and Nevis,288394872.297999,320542568.31894,365098328.465168,363216830.554272
St. Lucia,317540361.620252,305519500.768958,321767417.204396,285824309.747523
St. Martin (French part),..,..,..,..
St. Vincent and the Grenadines,166009602.198323,192255789.768022,182046079.244525,169562298.93521
Sub-Saharan Africa,..,..,..,..
Sub-Saharan Africa (excluding high income),..,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),..,..,..,..
Sudan,173516490.886743,168284353.053783,177933851.813136,..
Suriname,330244649.262198,381050648.917497,424603963.080103,580780344.590911
Sweden,58098544752.6552,59361642625.4786,62191481193.5854,60566144400.5195
Switzerland,602402585638.351,678909680869.541,811030675725.884,787021335043.725
Syrian Arab Republic,..,..,..,..
Tajikistan,493391433.036105,644763434.415511,1291955730.80213,1284070863.38126
Tanzania,4080762377.72074,4350687047.93764,5887869884.67437,5049646420.4773
Thailand,156459956382.606,171772074486.519,202538295197.399,205640628937.522
Timor-Leste,437752180.980057,280953720.723143,544434360.995242,673903564.681158
Togo,..,..,..,..
Tonga,156107668.817026,176497315.495875,198522418.422513,227189184.003045
Trinidad and Tobago,9993217471.34719,9536894465.97485,8450339608.08426,8108517577.38663
Tunisia,7559201960.29189,6137077790.03259,6143986079.65126,5661370258.89029
Turkey,110489628113.015,105945859574.478,107657025384.516,92982552060.703
Turkmenistan,..,..,..,..
Turks and Caicos Islands,..,..,..,..
Tuvalu,..,..,..,..
Uganda,2908876773.27382,3097848069.80846,3720863721.20488,3358514649.90299
Ukraine,13300880765.1311,15537256304.3675,18810931196.5576,20817897004.1028
United Arab Emirates,93929134196.4176,85390832746.3078,95377648625.516,99503335478.7452
United Kingdom,148109299505.898,134931850848.279,150857673778.943,172657749536.315
United States,383728497570.133,405942428719.749,451285263406.24,449907088828.546
Upper middle income,..,..,..,..
Uruguay,15633854333.4106,13471669447.4569,15959345500.7884,15556520867.2273
Uzbekistan,24287333269.6036,26284410686.6739,28070940955.3947,27077105981.1617
Vanuatu,269167136.176373,267345975.934803,395101633.946324,420592370.174891
"Venezuela, RB",15625329211.5223,10150000483.5116,9794062064.62108,..
Vietnam,28250254960.181,36527291044.3307,49075567812.4586,55452622582.5609
Virgin Islands (U.S.),..,..,..,..
West Bank and Gaza,580939642.18,312800333.67,446349334.35,537846124.64
World,..,..,..,..
"Yemen, Rep.",..,..,..,..
Zambia,2967626716.43206,2352719004.10271,2082083919.53427,1569229906.13102
Zimbabwe,434586085.852928,407193244.098736,292621249.111638,86951094.0294849
